"","word","sentiment","n"
"1","abolish","negative",1
"2","abound","positive",1
"3","abounds","positive",1
"4","abrupt","negative",1
"5","abruptly","negative",1
"6","absence","negative",1
"7","absurd","negative",1
"8","absurdity","negative",1
"9","abundance","positive",1
"10","abundant","positive",1
"11","abuse","negative",1
"12","abused","negative",1
"13","abyss","negative",1
"14","accessible","positive",1
"15","accidental","negative",1
"16","accolade","positive",1
"17","accomplish","positive",1
"18","accomplished","positive",1
"19","accomplishment","positive",1
"20","accomplishments","positive",1
"21","accurate","positive",1
"22","accurately","positive",1
"23","accuse","negative",1
"24","accuses","negative",1
"25","accusing","negative",1
"26","achievable","positive",1
"27","achievement","positive",1
"28","achievements","positive",1
"29","adaptable","positive",1
"30","adaptive","positive",1
"31","addict","negative",1
"32","addicted","negative",1
"33","adequate","positive",1
"34","adjustable","positive",1
"35","admire","positive",1
"36","admirer","positive",1
"37","admiring","positive",1
"38","adorable","positive",1
"39","advanced","positive",1
"40","advantage","positive",1
"41","advantageous","positive",1
"42","advantages","positive",1
"43","adversarial","negative",1
"44","adversary","negative",1
"45","adverse","negative",1
"46","advocate","positive",1
"47","advocates","positive",1
"48","affluent","positive",1
"49","afford","positive",1
"50","affordable","positive",1
"51","affordably","positive",1
"52","afraid","negative",1
"53","aggravation","negative",1
"54","aggression","negative",1
"55","aggressive","negative",1
"56","agile","positive",1
"57","agility","positive",1
"58","aimless","negative",1
"59","alarm","negative",1
"60","alarmed","negative",1
"61","alarming","negative",1
"62","allegations","negative",1
"63","allergy","negative",1
"64","altruistic","positive",1
"65","amaze","positive",1
"66","amazed","positive",1
"67","amazement","positive",1
"68","amazes","positive",1
"69","amazing","positive",1
"70","amazingly","positive",1
"71","ambiguity","negative",1
"72","ambiguous","negative",1
"73","ambitious","positive",1
"74","amenity","positive",1
"75","ample","positive",1
"76","amusing","positive",1
"77","anarchism","negative",1
"78","anarchy","negative",1
"79","angel","positive",1
"80","anger","negative",1
"81","angrily","negative",1
"82","angry","negative",1
