"","word","sentiment","n"
"1","autonomous","positive",11993
"2","intelligent","positive",832
"3","innovation","positive",572
"4","drones","negative",455
"5","like","positive",434
"6","smart","positive",413
"7","intelligence","positive",378
"8","great","positive",281
"9","work","positive",277
"10","ready","positive",223
"11","cloud","negative",216
"12","better","positive",195
"13","good","positive",186
"14","top","positive",165
"15","problem","negative",150
"16","safe","positive",134
"17","right","positive",125
"18","best","positive",124
"19","crash","negative",117
"20","well","positive",107
"21","improve","positive",100
"22","leading","positive",96
"23","lead","positive",94
"24","interesting","positive",92
"25","problems","negative",89
"26","free","positive",88
"27","trust","positive",87
"28","advanced","positive",86
"29","support","positive",84
"30","congestion","negative",78
"31","excited","positive",78
"32","amazing","positive",75
"33","kill","negative",75
"34","important","positive",74
"35","killed","negative",71
"36","fast","positive",70
"37","hype","negative",69
"38","cool","positive",67
"39","won","positive",63
"40","issues","negative",61
"41","exciting","positive",59
"42","available","positive",57
"43","hard","negative",57
"44","disruptive","negative",55
"45","smarter","positive",55
"46","welcome","positive",55
"47","bad","negative",53
"48","fatal","negative",53
"49","hot","positive",53
"50","love","positive",51
"51","enough","positive",50
"52","ethical","positive",50
"53","futuristic","positive",50
"54","proud","positive",50
"55","fun","positive",49
"56","breaking","negative",48
"57","helping","positive",48
"58","death","negative",47
"59","sustainable","positive",47
"60","secure","positive",46
"61","efficient","positive",45
"62","perfect","positive",45
"63","critical","negative",44
"64","disruption","negative",44
"65","faster","positive",44
"66","super","positive",44
"67","complex","negative",42
"68","error","negative",42
"69","safely","positive",42
"70","benefits","positive",41
"71","thank","positive",41
"72","wrong","negative",41
"73","awesome","positive",40
"74","crashes","negative",40
"75","issue","negative",40
"76","destroy","negative",38
"77","risk","negative",37
"78","concerns","negative",36
"79","fascinating","positive",36
"80","innovative","positive",36
"81","works","positive",36
"82","pretty","positive",35
"83","success","positive",35
"84","liability","negative",34
"85","progress","positive",33
"86","boost","positive",32
"87","fake","negative",32
"88","revolutionize","positive",32
"89","win","positive",32
"90","worse","negative",32
"91","powerful","positive",31
"92","clear","positive",30
"93","sustainability","positive",30
"94","awarded","positive",29
"95","disrupt","negative",29
"96","worth","positive",29
"97","slow","negative",28
"98","dilemma","negative",27
"99","miss","negative",27
"100","blind","negative",26
"101","dedicated","positive",26
"102","emergency","negative",26
"103","happy","positive",26
"104","killing","negative",26
"105","unlikely","negative",26
"106","capable","positive",25
"107","die","negative",25
"108","enhance","positive",25
"109","nice","positive",25
"110","rail","negative",25
"111","reliable","positive",25
"112","significant","positive",25
"113","break","negative",24
"114","easy","positive",24
"115","hack","negative",24
"116","poised","positive",24
"117","risks","negative",24
"118","winner","positive",24
"119","dangerous","negative",23
"120","incredible","positive",23
"121","integrated","positive",23
"122","successfully","positive",23
"123","advantage","positive",22
"124","clean","positive",22
"125","excellent","positive",22
"126","grand","positive",22
"127","struck","negative",22
"128","wins","positive",22
"129","crazy","negative",21
"130","luxury","positive",21
"131","promise","positive",21
"132","award","positive",20
"133","fastest","positive",20
"134","lost","negative",20
"135","trump","positive",20
"136","easier","positive",19
"137","fault","negative",19
"138","inevitable","negative",19
"139","latency","negative",19
"140","led","positive",19
"141","promises","positive",19
"142","wonder","positive",19
"143","cooperative","positive",18
"144","dead","negative",18
"145","difficult","negative",18
"146","enjoy","positive",18
"147","friendly","positive",18
"148","improving","positive",18
"149","lack","negative",18
"150","pleased","positive",18
"151","proving","positive",18
"152","successful","positive",18
"153","talent","positive",18
