username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/06/29 05:37;117;129;"This new #AutonomousVehicle could change the transportation industry for the better #AI #automation #ArtificialIntelligence via @rajat_shrimal cc @MikeQuindazzi @Paula_Piccard @SpirosMargaris @kashthefuturist @HaroldSinnott @chboursin @jblefevre60pic.twitter.com/DdNnIR8Si5";;@rajat_shrimal @MikeQuindazzi @Paula_Piccard @SpirosMargaris @kashthefuturist @HaroldSinnott @chboursin @jblefevre60pic;#AutonomousVehicle #AI #automation #ArtificialIntelligence;"1144827223284731905";https://twitter.com/rajat_shrimal/status/1144827223284731905
;2019/06/27 18:30;38;147;"Did you know adoption of AI technologies in agriculture, water , energy and transportation have the potential to boost global GDP and decrease greenhouse gas emissions? #AI might have a bigger impact than you think! http://msft.social/2CR1z1  #ThursdayThoughts";;;#AI #ThursdayThoughts;"1144296840373739520";https://twitter.com/MSFTIssues/status/1144296840373739520
;2019/06/26 05:03;35;49;"#Future of #transportation #Drone copter plus #car from #Airbus #innovation #tech #IoT #AI #engineering #design #hrtech #fintech #smartcities #travel #futureofwork #seo #ux #4IR @mclynd @jblefevre60 @mikequindazzi @diioannid @grattonboy @dinisguarda @kashthefuturist @gvalanpic.twitter.com/SIRnjW0u2b";;@mclynd @jblefevre60 @mikequindazzi @diioannid @grattonboy @dinisguarda @kashthefuturist @gvalanpic;#Future #transportation #Drone #car #Airbus #innovation #tech #IoT #AI #engineering #design #hrtech #fintech #smartcities #travel #futureofwork #seo #ux #4IR;"1143731448244924416";https://twitter.com/PBalakrishnaRao/status/1143731448244924416
;2019/06/25 09:18;39;54;"The future of #transportation #AutonomousVehicles #SmartCities #AI #5G #publictransit @kashthefuturist @evankirstel @kuriharan @Julez_Norton @Fabriziobustama @AdamRogers2030 @THEAdamGabriel @pascal_bornet @diioannid @Julez_Norton @JoannMoretti @WSWMUCpic.twitter.com/DJ9ZVXC81K";;@kashthefuturist @evankirstel @kuriharan @Julez_Norton @Fabriziobustama @AdamRogers2030 @THEAdamGabriel @pascal_bornet @diioannid @Julez_Norton @JoannMoretti @WSWMUCpic;#transportation #AutonomousVehicles #SmartCities #AI #5G #publictransit;"1143433185683841024";https://twitter.com/alvinfoo/status/1143433185683841024
;2019/06/23 08:04;207;228;"The chinese city's traffic is controlled by an #AI brain by @wef | #ArtificialIntelligence #SmartCity #Transportation #Automation #Digital #SmartTech #CyberSecurity #Drones #Robotics #Videos #RT Cc: @MikeQuindazzi @Paula_Piccard pic.twitter.com/QvZOHtnG5kpic.twitter.com/BZxGWUVST7";;@wef @MikeQuindazzi @Paula_Piccard;#AI #ArtificialIntelligence #SmartCity #Transportation #Automation #Digital #SmartTech #CyberSecurity #Drones #Robotics #Videos #RT;"1142689745983565824";https://twitter.com/Ronald_vanLoon/status/1142689745983565824
;2019/06/21 07:29;22;24;"Climate Change + AI. Applying #machinelearning to address the problems of climate change https://arxiv.org/abs/1906.05433  #ArtificialIntelligence #AI #ML #climate #climatechange #energy #transportation #SmartCities #buildings #industry #supplychains #agriculture #farmingpic.twitter.com/BIzU5DtfBN";;;#machinelearning #ArtificialIntelligence #AI #ML #climate #climatechange #energy #transportation #SmartCities #buildings #industry #supplychains #agriculture #farmingpic;"1141956199061098496";https://twitter.com/jose_garde/status/1141956199061098496
;2019/06/15 01:04;59;78;"Cargospeed, the future of cargo #transportation powered by #hyperloop tech. Via @CNBC #selfdriving #smartcities #AI #logistics MT @kuriharan @MikeQuindazzi @Fabriziobustama @PatrickGunz_CH @ipfconline1 @chboursin @pascal_bornet @kashthefuturist @WSWMUCpic.twitter.com/mplHPGMEiX";;@CNBC @kuriharan @MikeQuindazzi @Fabriziobustama @PatrickGunz_CH @ipfconline1 @chboursin @pascal_bornet @kashthefuturist @WSWMUCpic;#transportation #hyperloop #selfdriving #smartcities #AI #logistics;"1139685121286533121";https://twitter.com/alvinfoo/status/1139685121286533121
;2019/06/11 02:41;26;52;"Doozy5 Saudi Teenager Faces Death Sentence for Acts When He was 10 Erik Prince is looking for investments in Israeli high-tech, transportation, and security: Blue Bird: Drones/skis; Tomcar: ATVs, & Exxon Vision: AI systems for military use. pic.twitter.com/1TaIDSUt9q";;;;"1138259920548028416";https://twitter.com/karolcummins/status/1138259920548028416
;2019/06/09 12:06;15;17;"How Artificial Intelligence and Machine Learning Are Revolutionizing #Logistics, Supply Chain and #Transportation https://bit.ly/2ZekWGA  @Entrepreneur #ArtificialIntelligence #DataScience #SupplyChain #BigData #DeepLearning #MachineLearning #DigitalTransformation #AI pic.twitter.com/xWzTfojmeR";;@Entrepreneur;#Logistics #Transportation #ArtificialIntelligence #DataScience #SupplyChain #BigData #DeepLearning #MachineLearning #DigitalTransformation #AI;"1137677459468574720";https://twitter.com/marcusborba/status/1137677459468574720
;2019/06/02 18:00;44;30;"A Guide to Real World #AI & #MachineLearning Use Cases https://buff.ly/2NQGJj2  by Imtiaz Adam @DeepLearn007 #Fintech #Insurtech #HealthTech #Marketing #Transportation #CyberSecurity #Industry40 Cc @BrettKing @JimMarous @andi_staub @evankirstel @psb_dc @antgrasso @IrmaRaste @ahierpic.twitter.com/gvMiNUC4MY";;@DeepLearn007 @BrettKing @JimMarous @andi_staub @evankirstel @psb_dc @antgrasso @IrmaRaste @ahierpic;#AI #MachineLearning #Fintech #Insurtech #HealthTech #Marketing #Transportation #CyberSecurity #Industry40;"1135229810278641669";https://twitter.com/ipfconline1/status/1135229810278641669
