username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/06/30 09:23;143;179;"This is a traffic stop #robot by @cheddar | #Industry40 #AI #ArtificialIntelligence #Robotics #Automation #Innovation #DigitalTransformation #MachineLearning #ML #Videos #RT Cc: @MikeQuindazzi @SpirosMargarispic.twitter.com/hSJecO1gvF";;@cheddar @MikeQuindazzi @SpirosMargarispic;#robot #Industry40 #AI #ArtificialIntelligence #Robotics #Automation #Innovation #DigitalTransformation #MachineLearning #ML #Videos #RT;"1145155745199087618";https://twitter.com/Ronald_vanLoon/status/1145155745199087618
;2019/06/23 17:11;47;60;"This Chinese city's traffic is controlled by an AI brain. via @welcomeai #China #ai #brain #smartcity #MachineLearning #traffic #DeepLearning #imagerecognition #society #tracking #futuretech #technology #ArtificialIntelligence pic.twitter.com/fzuR7sCLfG TY, @marcusborba S. N., #CISO";;@welcomeai @marcusborba;#China #ai #brain #smartcity #MachineLearning #traffic #DeepLearning #imagerecognition #society #tracking #futuretech #technology #ArtificialIntelligence #CISO;"1142736946399260673";https://twitter.com/StephaneNappo/status/1142736946399260673
;2019/06/23 14:04;204;227;"The chinese city's traffic is controlled by an #AI brain by @wef | #ArtificialIntelligence #SmartCity #Transportation #Automation #Digital #SmartTech #CyberSecurity #Drones #Robotics #Videos #RT Cc: @MikeQuindazzi @Paula_Piccard pic.twitter.com/QvZOHtnG5kpic.twitter.com/BZxGWUVST7";;@wef @MikeQuindazzi @Paula_Piccard;#AI #ArtificialIntelligence #SmartCity #Transportation #Automation #Digital #SmartTech #CyberSecurity #Drones #Robotics #Videos #RT;"1142689745983565824";https://twitter.com/Ronald_vanLoon/status/1142689745983565824
;2019/06/17 23:18;71;100;"Traffic #Robot-Cop: "Do you know why I pulled you over?' #Reubotics #ai #artificialintelligence #robotics #machinelearning #Industry40 #IoT #tech #4IR @MikeQuindazzi @SpirosMargaris @Ronald_vanLoon @andi_staub @sallyeaves @YuHelenYu @THEAdamGabriel @kuriharan @KirkDBornepic.twitter.com/EKGHCcVWYA";;@MikeQuindazzi @SpirosMargaris @Ronald_vanLoon @andi_staub @sallyeaves @YuHelenYu @THEAdamGabriel @kuriharan @KirkDBornepic;#Robot #Reubotics #ai #artificialintelligence #robotics #machinelearning #Industry40 #IoT #tech #4IR;"1140654861211582465";https://twitter.com/Paula_Piccard/status/1140654861211582465
;2019/06/03 12:30;25;28;"Machine Learning Helps Bloggers Secure More Traffic with Long-Tail Keywords https://www.smartdatacollective.com/machine-learning-helps-bloggers-secure-more-traffic-with-long-tail-keywords/ … #machinelearning #artificialintelligence #Marketing #Digitalmarketing #keywords #blogging";;;#machinelearning #artificialintelligence #Marketing #Digitalmarketing #keywords #blogging;"1135418438573338624";https://twitter.com/jose_garde/status/1135418438573338624
;2019/05/24 19:26;643;1898;"The bosso of the week is definitely Nkululeko Tunzi. He invented a walking aid that helps blind people navigate traffic. He has mastered artificial intelligence in the device called Bulatsela. Ke skhokho! Unlock your potential! pic.twitter.com/DmnAleymui";;;;"1131899361372385280";https://twitter.com/ChristoThurston/status/1131899361372385280
;2019/05/24 11:15;1610;3507;"Newsletter| Nkululeko Tunzi, a computer science graduate from TUT, has invented an innovative walking aid that helps blind people navigate traffic. The product, called Bulatsela, uses cutting-edge artificial intelligence to interpret surroundings http://ow.ly/g8C330oOtWP  pic.twitter.com/K1PDhX4OyP";;;;"1131775601277329408";https://twitter.com/City_Press/status/1131775601277329408
;2019/05/23 14:23;19;74;"We built a machine-intelligent artificial intelligence tool with @silo_AI which enables us to predict possible disruptions to air traffic more accurately. Read more: http://ow.ly/4mF250unjQz  #AI #digitalfinnairpic.twitter.com/f7SKTMQ3TD";;@silo_AI;#AI #digitalfinnairpic;"1131460684636725248";https://twitter.com/Finnair/status/1131460684636725248
;2019/05/23 02:17;28;38;"#ArtificialIntelligence #AI inspired by #Nature MT @pascal_bornet #tech #digital #SelfDriving #Driverless #AutonomousVehicles #SelfDrivingCars #electriccars #ElectricVehicles #autonomousdriving #Automotive #selfDrivingCar #ML #traffic #SmartCities #SmartCity #Industry40 #4IRpic.twitter.com/PPsbAXNISn";;@pascal_bornet;#ArtificialIntelligence #AI #Nature #tech #digital #SelfDriving #Driverless #AutonomousVehicles #SelfDrivingCars #electriccars #ElectricVehicles #autonomousdriving #Automotive #selfDrivingCar #ML #traffic #SmartCities #SmartCity #Industry40 #4IRpic;"1131277874240118785";https://twitter.com/mvollmer1/status/1131277874240118785
;2019/05/20 20:17;38;44;"Mini #robotic #cars show how #DriverlessCars improve traffic flow https://buff.ly/2M6nQeC  #fintech #insurtech #autonomouscars #AI #ArtificialIntelligence #MachineLearning @RobertScammell @VerdictUK @JeroenBartelse @nigelwalsh @stratorob @floriansemle @guzmand @Cambridge_Unipic.twitter.com/GKpLSV9aro";;@RobertScammell @VerdictUK @JeroenBartelse @nigelwalsh @stratorob @floriansemle @guzmand @Cambridge_Unipic;#robotic #cars #DriverlessCars #fintech #insurtech #autonomouscars #AI #ArtificialIntelligence #MachineLearning;"1130462667670523904";https://twitter.com/SpirosMargaris/status/1130462667670523904
