username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/06/30 04:01;35;45;"Are you looking forward to a future of #SelfDrivingCars? 46% of #Consumers would like to have an #AutonomousVehicle, today >>> #PwC via @MikeQuindazzi >>> #IoT #AI #4IR #Robotics #4IR >>> https://pwc.to/2OE9kIN pic.twitter.com/3kALmoY9UK";;@MikeQuindazzi;#SelfDrivingCars #Consumers #AutonomousVehicle #PwC #IoT #AI #4IR #Robotics #4IR;"1145165403452256256";https://twitter.com/MikeQuindazzi/status/1145165403452256256
;2019/06/29 05:37;117;129;"This new #AutonomousVehicle could change the transportation industry for the better #AI #automation #ArtificialIntelligence via @rajat_shrimal cc @MikeQuindazzi @Paula_Piccard @SpirosMargaris @kashthefuturist @HaroldSinnott @chboursin @jblefevre60pic.twitter.com/DdNnIR8Si5";;@rajat_shrimal @MikeQuindazzi @Paula_Piccard @SpirosMargaris @kashthefuturist @HaroldSinnott @chboursin @jblefevre60pic;#AutonomousVehicle #AI #automation #ArtificialIntelligence;"1144827223284731905";https://twitter.com/rajat_shrimal/status/1144827223284731905
;2019/06/28 18:12;4;24;"It’s weird how the autonomous-vehicle people are like “technology will make us safer!” when the actual technology we need is more traffic lights and narrower roads https://twitter.com/schadenfraade/status/1144652198611054592 …";;;;"1144654771434876929";https://twitter.com/RottenInDenmark/status/1144654771434876929
;2019/06/27 22:11;54;98;"There are a lot of example about autonomous vehicle. These self-driving tractors could make farming easier and greener. pic.twitter.com/8KZbeaOsR9";;;;"1144352598931189760";https://twitter.com/AlyurukMuhammed/status/1144352598931189760
;2019/06/27 13:12;10;30;"Today we’re at the Harwell Space Cluster showcase, where the capabilities and technologies developed by organisations @harwellcampus are on display – like this satellite connected autonomous vehicle Find out more https://bit.ly/2WVv4lT pic.twitter.com/Q7HdAdkIne";;@harwellcampus;;"1144216876203089920";https://twitter.com/spacegovuk/status/1144216876203089920
;2019/06/27 12:03;80;106;"These #Robots ready to run via #Autonomous navigation >>> @BostonDynamics via @MikeQuindazzi >>> #ai #deeplearning #machinelearning #bigdata #iot #robotics #autonomousvehicle pic.twitter.com/nN68GaIdOL";;@BostonDynamics @MikeQuindazzi;#Robots #Autonomous #ai #deeplearning #machinelearning #bigdata #iot #robotics #autonomousvehicle;"1144199515840401408";https://twitter.com/MikeQuindazzi/status/1144199515840401408
;2019/06/27 04:08;11;24;"It was a pleasure to discuss the @ITEA_3 #XIVT Project & autonomous vehicle testing with ITEA Board Chairwoman Zeynep Sarilar, @OCEinnovation, @NRC_CNRC and partners QA Consultants & @ACE_WindTunnel. Thank you @zeynepsarilar for visiting #OntarioTech ACE!pic.twitter.com/l6UIHdjE5n";;@ITEA_3 @OCEinnovation @NRC_CNRC @ACE_WindTunnel @zeynepsarilar;#XIVT #OntarioTech;"1144079996924964864";https://twitter.com/jeremy_bradbury/status/1144079996924964864
;2019/06/27 03:23;38;53;"Uber's interest in #selfdriving trucks is nothing new by @techinsider | #AutonomousVehicle #Driverless #Automation #SmartCity #AI #ArtificialIntelligence #Innovation #DigitalTransformation #Videos #RT Cc: @sallyeaves @Fabriziobustamapic.twitter.com/3fdGsdpJW8";;@techinsider @sallyeaves @Fabriziobustamapic;#selfdriving #AutonomousVehicle #Driverless #Automation #SmartCity #AI #ArtificialIntelligence #Innovation #DigitalTransformation #Videos #RT;"1144068581711319041";https://twitter.com/Ronald_vanLoon/status/1144068581711319041
;2019/06/26 13:42;7;29;"BlackBerry and LG expand connected and autonomous vehicle technology partnership https://buff.ly/2J6qtbL ";;;;"1143862061631442944";https://twitter.com/CrackBerry/status/1143862061631442944
;2019/06/26 13:29;19;255;"Apple bought autonomous vehicle start-up http://Drive.ai  - spending more money on their failed autonomous car project. It’s absurd they don’t invest in Tesla. $tsla $aaplhttps://apple.news/AFNQROl4GRRy5imdzc4MkSA …";;;;"1143858866108522496";https://twitter.com/GerberKawasaki/status/1143858866108522496
;2019/06/26 04:01;29;47;"Apple bought autonomous vehicle start-up http://Drive.ai  https://cnb.cx/2Nbi4Jf ";;;;"1143715973553369094";https://twitter.com/CNBC/status/1143715973553369094
;2019/06/25 14:03;10;37;"Great to see Peoria Mayor Jim Ardis yesterday and discuss the infrastructure goals he has for Peoria. I’m committed to finding ways the fed. gov’t can support critical projects and priorities for the city, including its desire to be a research hub for autonomous vehicle tech. pic.twitter.com/2dh888NAZK";;;;"1143505050104455168";https://twitter.com/SenatorDurbin/status/1143505050104455168
;2019/06/25 10:20;174;423;"This new autonomous vehicle could change the transportation industry for the better via @VolvoTruckspic.twitter.com/7Ap0OASbvH";;@VolvoTruckspic;;"1143448817343143941";https://twitter.com/IntEngineering/status/1143448817343143941
;2019/06/24 20:59;6;20;"I took a closer look at Florida's new autonomous vehicle law. It opens up the state's roads to be a great AV laboratory while providing no clarity on some of the most important questions facing the industry. It'll be fine I'm sure. https://jalopnik.com/floridas-potentially-deadly-autonomous-car-experiment-i-1835732108 …";;;;"1143247269770203137";https://twitter.com/A_W_Gordon/status/1143247269770203137
;2019/06/24 17:50;5;21;"This afternoon, Mayor @billpeduto joined @ACE_Fitzgerald for an exciting announcement at @CarnegieMellon. Together with @argoai, the University is founding a new Center for Autonomous Vehicle Research with a 15 million dollar grant. pic.twitter.com/j9dSJnspAz – At Gates and Hillman Centers";;@billpeduto @ACE_Fitzgerald @CarnegieMellon @argoai;;"1143199627669364736";https://twitter.com/TheNextPGH/status/1143199627669364736
;2019/06/24 17:13;13;59;". @nikolamotor has played an integral role in helping #GreaterPHX become a leader in the autonomous vehicle industry. @AreaDevelopment recognized the company's new Arizona facility as Project of the Year! http://bit.ly/2Rl4t0o  #TheConnectedPlacepic.twitter.com/krfvWvdPNj";;@nikolamotor @AreaDevelopment;#GreaterPHX #TheConnectedPlacepic;"1143190304180375552";https://twitter.com/GPEC/status/1143190304180375552
;2019/06/24 17:03;44;144;"News: @argoai and @CarnegieMellon announce $15 million, 5-year research agreement; CMU/Argo AI Center for Autonomous Vehicle Research will develop methods for operating in real-world conditions, such as winter weather or construction zones http://bit.ly/2ZJhB2B  @CMU_Roboticspic.twitter.com/LfrHIlrT6T";;@argoai @CarnegieMellon @CMU_Roboticspic;;"1143187778479558657";https://twitter.com/SCSatCMU/status/1143187778479558657
;2019/06/20 21:02;10;23;"Olli, a self-driving bus, launched at @JBMHH yesterday as part of the joint Autonomous Vehicle Pilot Program. Check out this video to see how @ArmyERDC is helping the effort. : J. Levensonpic.twitter.com/93fhOzSfSu";;@JBMHH @ArmyERDC;;"1141798372707147776";https://twitter.com/USACEHQ/status/1141798372707147776
;2019/06/20 00:44;27;53;"METRO, @TexasSouthern, @HouGalvAreaCog, @FirstTransit debut the region's first autonomous vehicle today! #rideintothefuture -Jpic.twitter.com/KYk7zHLFEp";;@TexasSouthern @HouGalvAreaCog @FirstTransit;#rideintothefuture;"1141492087214546945";https://twitter.com/METROHouston/status/1141492087214546945
;2019/06/19 16:06;23;129;"Thread on Tesla's ethics in autonomous vehicle development. Yesterday I pointed out that @ARKInvest has no clue about Uber's massive AV program. Today I am going to compare the ethics of Uber's autonomy strategy with Tesla's. (And Uber, of course, isn't known for its ethics)";;@ARKInvest;;"1141361657295310848";https://twitter.com/tedstein/status/1141361657295310848
;2019/06/30 00:04;15;19;"Oxford University uses drivers' bad habits to train autonomous vehicle technology to think like a human and react to the challenges they will face on the road https://www.telegraph.co.uk/technology/2019/06/29/britons-bad-driving-skills-inspire-technology-can-make-driverless/ … via @Telegraph #SelfDrivingCars #SelfDriving #driverless #Insurtech @SpirosMargaris @FGraillotpic.twitter.com/xxb9zyoE5o";;@Telegraph @SpirosMargaris @FGraillotpic;#SelfDrivingCars #SelfDriving #driverless #Insurtech;"1145105857102974976";https://twitter.com/JeroenBartelse/status/1145105857102974976
;2019/06/29 02:42;13;19;"Autonomous vehicle development projects face significant data challenges. Learn how ONTAP AI, a #DGXPOD solution from @NetApp, helps accelerate your pipeline for autonomous vehicle development from @santorao: https://ntap.com/2LprI8T pic.twitter.com/5UyeKloNHy";;@NetApp @santorao;#DGXPOD;"1144783084442849280";https://twitter.com/NvidiaAI/status/1144783084442849280
;2019/06/28 13:23;19;18;"The 2019 Q2 version of the excellent autonomous vehicle network by @AugustinFriedel https://www.linkedin.com/feed/update/urn:li:activity:65502903018675732 … #SelfDrivingCars #DriverlessCars #driverless #Autonomous #selfdriving #mobility @SpirosMargaris @FGraillot @guidaautonoma @mvollmer1 @evankirstel @Paula_Piccardpic.twitter.com/TGeyJTt1Al";;@AugustinFriedel @SpirosMargaris @FGraillot @guidaautonoma @mvollmer1 @evankirstel @Paula_Piccardpic;#SelfDrivingCars #DriverlessCars #driverless #Autonomous #selfdriving #mobility;"1144582082024394756";https://twitter.com/JeroenBartelse/status/1144582082024394756
;2019/06/28 03:37;15;30;"Huge news! @Conste11ation CEO revealed that as part of @dltMOBI they are in a working partnership with @GM General Motors and @DENSOAutoParts to build a PoC for the autonomous vehicle data marketplaces! In $DAG We Trust!!! $BTC $ETH $IOTA $NANO $xrp #CryptoNews #cryptocurrency";;@Conste11ation @dltMOBI @GM @DENSOAutoParts;#CryptoNews #cryptocurrency;"1144434581648502785";https://twitter.com/Crypto_DAG/status/1144434581648502785
;2019/06/27 13:19;9;13;"The Galileo 4 Mobility project & @EU_GNSS have launched a joint call for expressions of interest for #Autonomous #Vehicle manufacturers, to lead the operation and deployment of an #AV on roads open to traffic. For more info & how to apply: http://bit.ly/31TikA2 ";;@EU_GNSS;#Autonomous #Vehicle #AV;"1144218770573090817";https://twitter.com/GalileoMobility/status/1144218770573090817
;2019/06/27 11:10;16;25;"Do you think this new autonomous vehicle could change the transportation industry for the better? pic.twitter.com/E5TQecDeJ0";;;;"1144186195024498688";https://twitter.com/startupafrimag/status/1144186195024498688
;2019/06/26 20:32;10;14;"Apple has confirmed it's acquired autonomous vehicle tech startup http://Drive.ai http://tnw.me/In3QV0a ";;;;"1143965177752297472";https://twitter.com/thenextweb/status/1143965177752297472
;2019/06/26 04:10;5;27;"Apple bought autonomous vehicle start-up http://Drive.ai https://www.cnbc.com/2019/06/26/apple-buys-autonomous-vehicle-start-up-driveai.html?__source=sharebar%7Ctwitter&par=sharebar …";;;;"1143718248212418560";https://twitter.com/kifleswing/status/1143718248212418560
