"","x"
"1","artificial intelligence"
"2","autonomous car"
"3","self driving"
"4","driving car"
"5","car technology"
"6","car tech"
"7","driving cars"
"8","car testing"
"9","autonomous cars"
"10","semi autonomous"
"11","car race"
"12","global ai"
"13","3d print"
"14","wireless power"
"15","driverless cars"
"16","vr ar"
"17","mobile internet"
"18","machine learning"
"19","quantum computing"
"20","fintech insurtech"
"21","12 5g"
"22","5g 13"
"23","ai machine"
"24","utm_source twitter"
"25","test autonomous"
"26","autonomous vehicle"
"27","vehicle technology"
"28","vehicle testing"
"29","mikequindazzi ai"
"30","vehicle tech"
"31","rt cc"
"32","vehicle research"
"33","autonomous vehicles"
"34","machinelearning deeplearning"
"35","ai robotics"
"36","ai iot"
"37","autonomousvehicles ai"
"38","iot autonomousvehicles"
"39","autonomousvehicles iot"
"40","ai machinelearning"
"41","cc mikequindazzi"
"42","ai autonomousvehicles"
"43","iot ai"
"44","artificialintelligence machinelearning"
"45","ai artificialintelligence"
"46","robotics autonomousvehicles"
"47","mikequindazzi evankirstel"
"48","iot iiot"
"49","videos rt"
"50","selfdrivingcars autonomousvehicles"
"51","iot bigdata"
"52","rajat_shrimal cc"
"53","drones autonomousvehicles"
"54","infographic cybersecurity"
"55","ar vr"
"56","intelligent automotive"
"57","intelligent transport"
"58","transport systems"
"59","intelligent transportation"
"60","transportation systems"
"61","driverless car"
"62","driverless vehicles"
"63","driverless future"
"64","driverless buses"
"65","driverless bus"
"66","driverless vehicle"
"67","driverless trains"
"68","driverless trucks"
"69","driverless shuttle"
"70","driverless taxi"
"71","driverless taxis"
"72","test driverless"
"73","driverless technology"
"74","google's driverless"
"75","driverless electric"
"76","google driverless"
"77","driverless tech"
"78","public roads"
"79","utm_medium social"
"80","driverless shuttles"
"81","driverless tractors"
"82","driverless truck"
"83","autonomous driverless"
"84","social utm_source"
"85","driverless pods"
"86","driverless train"
"87","testing driverless"
"88","driverless metro"
"89","www.bbc.co.uk news"
"90","driverless uber"
"91","news technology"
"92","driverless ai"
"93","driverless tractor"
"94","san francisco"
"95","taxi service"
"96","driverless delivery"
"97","steering wheel"
"98","www.bloomberg.com news"
"99","driverless autonomous"
"100","driverless pod"
"101","elon musk"
"102","iot internetofthings"
"103","las vegas"
"104","www.wsj.com articles"
"105","drones driverless"
"106","driverless lorries"
"107","electric driverless"
"108","green light"
"109","uk roads"
