username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/06/22 17:03;28;87;"There's a lot to be said for hybrids, but increasingly, serious & intelligent people are waking up to the fact that pure EVs are not a sensible solution to decarbonizing the automotive world. Good summary here. https://seekingalpha.com/article/4271072-long-range-evs-antithesis-efficiency-sustainability …";;;;"1142463063221776384";https://twitter.com/Polixenes13/status/1142463063221776384
;2019/06/13 10:48;7;17;"Smart Production through RFID technology! Intelligent production is only possible if #robots, tools, grippers and workpieces can be digitally identified and information can be exchanged. Our solutions for a smarter factory: https://www.kuka.com/en-de/industries/solutions-database/2018/05/solutions-automotive-rfid-tec … #KUKA #Automotive #IIoTpic.twitter.com/mG1999tNOA";;;#robots #KUKA #Automotive #IIoTpic;"1139107274142756865";https://twitter.com/KUKAGlobal/status/1139107274142756865
;2019/06/06 06:00;3;9;"We will demonstrate how #CV2X transforms the automotive industry we know today at #MWC19 ! Join us to discover how intelligent connectivity is ready to shape the future of the #AutonomousDriving world on 27 June 2019. More information here:http://5gaa.org/event/5gaa-mobile-world-congress-shanghai-2019/ …";;;#CV2X #MWC19 #AutonomousDriving;"1136498078956040192";https://twitter.com/5GAA_official/status/1136498078956040192
;2019/06/04 13:30;7;10;"From autonomy to mobility and ride sharing to car sharing, the automotive industry is going through tremendous disruption. Lisa Gonzalez Smith shares how Ford uses Intelligent Spend Management to achieve greater transparency onstage at #SAPAribaLive.pic.twitter.com/9g7U24eQcz";;;#SAPAribaLive;"1135886548967182336";https://twitter.com/SAPAriba/status/1135886548967182336
;2019/05/26 18:47;3;9;"Unibap presents at GE Digital European Automotive Forum, June 12-13 Fredrik Bruhn, Unibap CEO, will present the Digital Thread for Intelligent Flexible Automation at a special session in the automotive forum. https://unibap.com/news/ pic.twitter.com/v7l8Bof6Zo";;;;"1132704875664564227";https://twitter.com/UnibapAB/status/1132704875664564227
;2019/05/21 10:00;3;21;"The all-new #CLA is unparalleled with an intelligent interior and a seductive exterior. Starting From only LKR 81,100 per month on Personal Contract Plan. For More info Type 37 and SMS to 779-033-388. #autodirectlk #colombo #Automotive #Benz #CLA200 #AMGpic.twitter.com/uFMBmIgyWr";;;#CLA #autodirectlk #colombo #Automotive #Benz #CLA200 #AMGpic;"1130760216293781504";https://twitter.com/autodirectlk/status/1130760216293781504
;2019/05/20 15:02;7;15;"We don't make cars… but we do make cars intelligent @Huawei is using its ICT skills to help car manufacturers build smart, connected electric vehicleRead more about Eric Xu's keynote on the convergence of the ICT and automotive industries https://bit.ly/2L5gWGl ";;@Huawei;;"1130473801693761536";https://twitter.com/HuaweiEU/status/1130473801693761536
;2019/05/14 16:55;7;13;"ALD Automotive will be attending @ConnectedFleets Conference which will take place on 15 & 16 May in Brussels and will share, with @vinli , how intelligent #data management can be used to power fleets with data inteligence ? @Fleet_Europe http://bit.ly/2HhRvND pic.twitter.com/lT0TwnOV31";;@ConnectedFleets @vinli @Fleet_Europe;#data;"1128328054449811457";https://twitter.com/ALDAutomotive/status/1128328054449811457
;2019/05/02 13:01;6;11;"We're sponsoring @ieeeiv2019 this year in Paris in June where we will be demonstrating how to take all those brilliant intelligent vehicles algorithms and put them into production on automotive silicon with functional safety https://iv2019.org/ pic.twitter.com/FQzPDVvPox";;@ieeeiv2019;;"1123920429045964801";https://twitter.com/codeandrew/status/1123920429045964801
;2019/04/16 16:16;13;195;"Openbay Otis Introduces An Industry First: The Cutting-Edge, Interactive, Artificially Intelligent Automotive Service Advisor: https://www.openbay.com/blog/openbay-launches-industry-first-artificial-intelligence-powered-automotive-service-advisor/ … #OtisAI #OpenbayOtis #HelloOtis #AI #ArtificialIntelligence #FutureofBusiness #CustomerSatisfaction #VirtualServiceAdvisor #NLPpic.twitter.com/kgpB8emuYQ";;;#OtisAI #OpenbayOtis #HelloOtis #AI #ArtificialIntelligence #FutureofBusiness #CustomerSatisfaction #VirtualServiceAdvisor #NLPpic;"1118171208095338498";https://twitter.com/openbay/status/1118171208095338498
