username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/06/25 22:26;16;12;"Global spending on smart cities initiatives will reach $189.5 billion in 2023. The top priorities for these initiatives will be resilient energy and infrastructure projects followed by data-driven public safety and intelligent transportation. http://bit.ly/2RC6jdn ";;;;"1143631464262709250";https://twitter.com/IDC/status/1143631464262709250
;2019/06/25 16:49;6;9;"Today Intelligent Transportation Society of America released our transportation reauthorization proposals. If you’re in DC, feel free to swing by the hearing today or live stream it from anywhere in the world. #THISisITS #safety…https://lnkd.in/de5szsi  https://lnkd.in/dBb5g7W ";;;#THISisITS #safety;"1143546817499607040";https://twitter.com/Bhattman_ITSA/status/1143546817499607040
;2019/06/17 16:38;4;13;"Showcasing the great features that @5g_carmen is bringing for more intelligent and safer transportation with @riggio_roberto as project coordinator. Come to our booth at @EuCNC and check our demo in #CV2X! @winetsys @createnet @FBKcompic.twitter.com/llHvqe62Oz";;@5g_carmen @riggio_roberto @EuCNC @winetsys @createnet @FBKcompic;#CV2X;"1140644804310786048";https://twitter.com/CEstefaniaC/status/1140644804310786048
;2019/06/16 21:39;6;11;"Booth almost ready. Do not miss our #cv2x demo tomorrow and discover how #5g can deliver safe and intelligent transportation for everyone. @EuCNC #EuCNC2019 @winetsys @FBKcom @createnetpic.twitter.com/re2NBKWNhG";;@EuCNC @winetsys @FBKcom @createnetpic;#cv2x #5g #EuCNC2019;"1140358311985987584";https://twitter.com/5g_carmen/status/1140358311985987584
;2019/06/08 10:35;31;33;"How #passengerexperience through #selfdriving vehicles can handle flexible on demand public transportation for the first and last mile with the help of intelligent #infrastructure. #UITP2019 #SIExMobility #TheArtofPublicTransportpic.twitter.com/qoTftzGdgV";;;#passengerexperience #selfdriving #infrastructure #UITP2019 #SIExMobility #TheArtofPublicTransportpic;"1137291928339271680";https://twitter.com/AkwyZ/status/1137291928339271680
;2019/06/02 00:17;5;13;"A new episode of @MobilityPodcast is out now! We caught up with our friend @Bhattman_ITSA to unpack the themes behind the #ITSDC2019 conference in DC next week: “Intelligent Transportation: Safer, Greener, Smarter.” https://www.mobilitypodcast.com/ ";;@MobilityPodcast @Bhattman_ITSA;#ITSDC2019;"1134962124013412352";https://twitter.com/AVGregR/status/1134962124013412352
;2019/05/26 20:25;4;12;"? @ivanadusparic? talking about ethics in developing software - especially for Intelligent Transportation Systems at the SEAMS conference. Really interesting chat! No easy answers. ? @enable_ie?pic.twitter.com/nGykVludR0";;@ivanadusparic @enable_ie;;"1132729375714152448";https://twitter.com/SClarkeTCD/status/1132729375714152448
;2019/05/26 02:00;24;38;"Science has gifted the world with many wonders. 1. The internet and communication 2. Transportation 3. Healthcare 4. The knowledge that conservatives are less intelligent than liberals What a time to be alive. https://www.google.ca/amp/s/www.dailymail.co.uk/sciencetech/article-2095549/amp/Right-wingers-intelligent-left-wingers-says-controversial-study--conservative-politics-lead-people-racist.html …";;;;"1132451501711003648";https://twitter.com/c_ethe/status/1132451501711003648
;2019/05/23 06:55;11;39;"Scores of #startups are showcasing solutions from the realm of smart cities, intelligent buildings, energy, transportation, water management and more at the #SmartCitiesIndia Expo 2019 at Pragati Maidan, organised jointly by @ITPODesk & Exhibitions India Group.pic.twitter.com/kBjEcY08jj";;@ITPODesk;#startups #SmartCitiesIndia;"1131438366032093184";https://twitter.com/DoC_GoI/status/1131438366032093184
;2019/05/17 12:54;44;80;"We are shaping the future of mobility in Africa through an intelligent sustainable and eco-friendly transport system driven by technology We believe that transportation is a key driver in unlocking economic opportunities and connecting populations #Mobility #SmartCities #Weegopic.twitter.com/kvU00g1Sf0";;;#Mobility #SmartCities #Weegopic;"1129354603198373889";https://twitter.com/weegolife/status/1129354603198373889
;2019/04/23 22:34;136;302;"Fleet of buses to be commissioned tomorrow by @ MBuhari have unique feature of Intelligent Transport System mechanism that will aid Lagosians in planning their journeys. This initiative will make public transportation in the state globally competitive. #ItesiwajuIpinleEko #LASG pic.twitter.com/wlXyvdRYCW";;@;#ItesiwajuIpinleEko #LASG;"1120803239115534336";https://twitter.com/followlasg/status/1120803239115534336
