username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019/06/21 04:27;59;142;"UPDATE: I picked the call Pls recommend schools that would afford a PhD in Cybersecurity for special focus on New/Emerging Tech like: + IoT + Artificial Intelligence + Blockchain + Machine Learning ...and application in Financial Services, Telecoms, Health, or Transportation. https://twitter.com/WaleMicaiah/status/1141135843245088769 …";;;;"1141910592971841537";https://twitter.com/WaleMicaiah/status/1141910592971841537
;2019/05/15 23:41;14;23;"From biotech and machine learning to transportation, retail and agriculture, @CNBCDisruptors presents the list of the top 50 companies whose innovations are on track to #RewriteTomorrow. This is the #Disruptor50: https://www.cnbc.com/2019/05/15/meet-the-2019-cnbc-disruptor-50-companies.html …pic.twitter.com/EQTOwEnUrX";;@CNBCDisruptors;#RewriteTomorrow #Disruptor50;"1128792435428069376";https://twitter.com/Nasdaq/status/1128792435428069376
;2019/05/15 12:53;74;124;"From biotech and machine learning to transportation, retail and agriculture: Meet the 2019 CNBC #Disruptor50 companieshttps://cnb.cx/2VAph9L ";;;#Disruptor50;"1128629589964619778";https://twitter.com/CNBCDisruptors/status/1128629589964619778
;2019/04/09 04:04;15;25;"Amazon has landed "deals and partnerships with companies like BP, Shell, and Halliburton, offering data-based services such as machine learning for enhanced exploration, internet of things-enabled oilfield automation, and remote site data transportation." https://gizmodo.com/amazon-is-aggressively-pursuing-big-oil-as-it-stalls-ou-1833875828 …";;;;"1115450500445429760";https://twitter.com/techworkersco/status/1115450500445429760
;2019/03/23 09:09;572;1630;"Machine learning has the potential to make a big difference in solving some of humanity's biggest problems -- making renewables more efficient, optimizing our transportation networks, recycling our trash, making medical care more broadly accessible, accelerating science.";;;;"1109381638667014145";https://twitter.com/fchollet/status/1109381638667014145
;2019/01/14 18:56;14;56;"Five interesting markets in 2019 according to @eladgil: 1. Devsumer Products. 2. Real estate tech. 3. Machine learning / AI silicon & systems. 4. Transportation and logistics 5. Crypto http://blog.eladgil.com/2019/01/interesting-markets-2019-edition.html …";;@eladgil;;"1084886898361786370";https://twitter.com/hnshah/status/1084886898361786370
;2018/12/25 23:38;24;27;"How @Uber rival Didi Chuxing uses machine learning to revolutionize transportation #AI #ML #MachineLearninghttps://hubs.ly/H0fZL0l0 ";;@Uber;#AI #ML #MachineLearninghttps;"1077710079095390209";https://twitter.com/odsc/status/1077710079095390209
;2018/10/06 18:06;19;24;"CFP Special issue in Transportation Research Part C on Emerging Methods for Data-driven Urban Transportation and Mobility Modeling: Machine Learning and Complexity Approaches https://www.journals.elsevier.com/transportation-research-part-c-emerging-technologies/call-for-papers/emerging-methods-for-data-driven-urban-transportation …";;;;"1048620444650098688";https://twitter.com/meeadsaberi/status/1048620444650098688
;2018/09/18 11:00;49;85;"How artificial intelligence and machine learning are revolutionizing logistics, supply chain and transportation http://on.forbes.com/6019DFEYT  #paid @PenskeNewspic.twitter.com/Hr8CaUmTmD";;@PenskeNewspic;#paid;"1041990216008048641";https://twitter.com/Forbes/status/1041990216008048641
;2018/09/12 05:41;39;56;"How Artificial Intelligence And #Machine #Learning Are Revolutionizing #Logistics, Supply Ch#AIn And #Transportation #CEO #Deep_Learning #Machine_Learning #Education #Research @SwissCognitive - The Global AI Hubhttp://bit.ly/2CvtT84 ";;@SwissCognitive;#Machine #Learning #Logistics #AIn #Transportation #CEO #Deep_Learning #Machine_Learning #Education #Research;"1039735835065835525";https://twitter.com/DalithSteiger/status/1039735835065835525
;2018/08/21 05:15;46;35;"New human rights principles on artificial intelligence #Communication #CTO #Deep_Learning #Learning #Machin #Machine_Learning #AI #Education #Media #Transportation http://bit.ly/2LgbivA ";;;#Communication #CTO #Deep_Learning #Learning #Machin #Machine_Learning #AI #Education #Media #Transportation;"1031756719490322432";https://twitter.com/SwissCognitive/status/1031756719490322432
;2018/07/11 09:14;39;117;". @GoogleIndia & #NITIAayog are working together to organise an #AI & machine learning hackathon, focused on solving key challenges within agriculture, education, healthcare, financial inclusion, transportation & #mobilityhttps://gadgets.ndtv.com/apps/news/google-mlcc-study-jam-machine-learning-course-india-registration-1880994 …";;@GoogleIndia;#NITIAayog #AI #mobilityhttps;"1016958856512049157";https://twitter.com/NITIAayog/status/1016958856512049157
;2018/04/19 15:59;22;40;"If you like this analysis I'm graduating in August and am on the job market. Looking to do energy/transportation/environmental analysis and research. I also use machine learning and am researching marginal electricity generation emissions. Resume at http://gschivley.github.io/cv.html .https://twitter.com/gschivley/status/986645715689582592 …";;;;"986982549221183488";https://twitter.com/gschivley/status/986982549221183488
;2018/03/30 00:04;40;76;"Esri and @nvidia have teamed up to combine #GIS, #AI, and machine learning to train an artificial neural network to predict travel times for hard-to-model transportation networks http://p.ctx.ly/r/776g  #VD #GTC18pic.twitter.com/lfCQUy49r9";;@nvidia;#GIS #AI #VD #GTC18pic;"979494427767877633";https://twitter.com/Esri/status/979494427767877633
;2017/11/25 16:38;59;230;"Humans may save more lives by applying machine learning & artificial intelligence to medicine and transportation than all philanthropy has saved in the last 3 decades combined. There is no better investment than technology.";;;;"934461406245785600";https://twitter.com/APompliano/status/934461406245785600
;2017/08/23 20:07;57;115;"The fusion of AI, machine learning, robotics, hardware advancements, and big data will revolutionize personal transportation. #AV17pic.twitter.com/e3dap5EPu2";;;#AV17pic;"900434240520593408";https://twitter.com/HyperloopOne/status/900434240520593408
;2017/05/11 17:45;13;17;""Deep learning, machine learning, robotics: the future of transportation is more than just autonomous cars" Trevor Darrel #AAI17pic.twitter.com/asuNCmKE2B";;;#AAI17pic;"862710333026164737";https://twitter.com/bootstraplabs/status/862710333026164737
;2016/07/21 04:53;81;252;"A pledge to build the killer 'app' in: 1. Energy 2. Machine learning/AI 3. Transportation #WeAreAllWitnesseshttps://twitter.com/elonmusk/status/755929747763245061 …";;;#WeAreAllWitnesseshttps;"755973951658921985";https://twitter.com/chamath/status/755973951658921985
