"","x"
"1","transportation"
"2","car"
"3","autonomous"
"4","driving"
"5","autonomouscar"
"6","ai"
"7","cars"
"8","self"
"9","tech"
"10","future"
"11","iot"
"12","autonomouscars"
"13","uber"
"14","status"
"15","2016"
"16","drive"
"17","mobile"
"18","vehicle"
"19","autonomousvehicle"
"20","technology"
"21","testing"
"22","vehicles"
"23","autonomousvehicles"
"24","mikequindazzi"
"25","robotics"
"26","machinelearning"
"27","bigdata"
"28","artificialintelligence"
"29","cc"
"30","selfdrivingcars"
"31","smartcity"
"32","intelligent"
"33","transport"
"34","systems"
"35","driverless"
"36","news"
"37","google"
"38","roads"
"39","road"
"40","uk"
"41","test"
"42","people"
"43","world"
"44","2017"
"45","public"
"46","bus"
"47","cities"
"48","drivers"
"49","electric"
"50","buses"
"51","trains"
"52","2015"
"53","city"
"54","trucks"
"55","coming"
"56","driver"
"57","2018"
"58","business"
"59","innovation"
"60","traffic"
