"","x"
"1","revolutionizing logistics supply"
"2","self driving car"
"3","autonomous car technology"
"4","self driving cars"
"5","autonomous car testing"
"6","autonomous car tech"
"7","semi autonomous car"
"8","autonomous car race"
"9","google's autonomous car"
"10","12 5g 13"
"11","semi autonomous cars"
"12","test autonomous cars"
"13","5g 13 voice"
"14","utm_medium social utm_source"
"15","computing 12 5g"
"16","quantum computing 12"
"17","ai machine learning"
"18","social utm_source twitter"
"19","teach autonomous cars"
"20","autonomous cars change"
"21","autonomous vehicle technology"
"22","autonomous vehicle testing"
"23","autonomous vehicle tech"
"24","autonomous vehicle research"
"25","autonomous vehicle development"
"26","autonomous vehicle industry"
"27","videos rt cc"
"28","cc mikequindazzi evankirstel"
"29","rajat_shrimal cc mikequindazzi"
"30","mikequindazzi ai robotics"
"31","ai machinelearning deeplearning"
"32","mikequindazzi evankirstel kuriharan"
"33","infographic cybersecurity infosec"
"34","ai robotics iot"
"35","robotics automation autonomousvehicles"
"36","test autonomous vehicles"
"37","connected autonomous vehicles"
"38","fintech insurtech autonomousvehicles"
"39","machinelearning deeplearning robotics"
"40","ai iot autonomousvehicles"
"41","iot trends map"
"42","m2m bigdata cloud"
"43","ai artificialintelligence machinelearning"
"44","artificialintelligence machinelearning deeplearning"
"45","bigdata cloud sensors"
"46","cloud sensors autonomousvehicles"
"47","rt cc mikequindazzi"
"48","trends map 2017"
"49","wireless ai innovation"
"50","ai robotics automation"
"51","fuel cell architecture"
"52","intelligent transport systems"
"53","intelligent transportation systems"
"54","intelligent transportation system"
"55","test driverless cars"
"56","driverless car technology"
"57","google driverless car"
"58","google's driverless car"
"59","google's driverless cars"
"60","driverless car testing"
"61","testing driverless cars"
"62","driverless taxi service"
"63","www.bloomberg.com news articles"
"64","chorus utm_medium social"
"65","utm_content chorus utm_medium"
"66","driverless car trials"
"67","www.bbc.co.uk news technology"
"68","utm_campaign theverge utm_content"
"69","driverless shuttle bus"
"70","drones driverless cars"
"71","driverless car tech"
"72","driverless car race"
"73","utm_source twitter utm_medium"
"74","theverge utm_content chorus"
"75","driverless car era"
"76","forget driverless cars"
"77","grand theft auto"
"78","driverless car service"
"79","driverless tube trains"
"80","google driverless cars"
"81","mind blowing implications"
"82","innovative mobility highlights"
"83","driverless car crashes"
"84","driverless car project"
"85","driverless car revolution"
"86","arstechnica.com cars 2018"
"87","uber driverless cars"
"88","www.bbc.com news technology"
"89","73 mind blowing"
"90","driverless car future"
"91","driverless car program"
"92","self driving trucks"
"93","stained glass driverless"
"94","driverless car tests"
"95","driverless cars change"
"96","air traffic control"
