"","user","text","n"
"1","12News","Police: Uber self-driving vehicle struck, killed pedestrian in Tempe http://12ne.ws/2G7mDja<U+00A0>pic.twitter.com/eEgUALvYWx",1
"2","20committee","Optics matter. Human error is....human. The public is far from being accustomed to self-driving car fatalities. https://twitter.com/db7/status/975794811474268160<U+00A0><U+0085>",1
"3","2morrowknight","It takes 30 seconds for this @BMW to become a transformer! This is amazing. pic.twitter.com/XTrG2c0U5b #Robotics #Robot #IoT #AI #Autonomous #bot #SundayMorning #selfdriving #SmartCity",1
"4","31BJN","Tell me why we even need self driving , self parking , self backing cars? If you can<U+0092>t take the wheel , take a bus!",1
"5","4everNeverTrump","Reminder: Arizona literally has NO regulations specifically for self-driving cars. No special license, no human needed in the car, nothing. https://twitter.com/RawStory/status/975784103650963457<U+00A0><U+0085>",1
"6","4everNeverTrump","The rush to put self-driving cars on the road is a mistake. With a human driving, responsibility can be determined. Who's responsible when an algorithm determines someone must die? Who will ever want to program that algorithm, essentially pre-determining a stranger's death?",1
"7","4everNeverTrump","This idea that self-driving cars can't get into accidents and hurt/kill people HAS LITERALLY JUST BEEN DISPROVEN and yet people are still insisting there is no problem. The fact that self-driving cars are supposedly safer is BESIDES THE FUCKING POINT.",1
"8","4everNeverTrump","What are you talking about? Easy example: the self driving car can't avoid an accident. Option one is to kill two pedestrians; option two is to kill two of its passengers. Now choose. https://twitter.com/lil_brown_bat/status/975800445577940993<U+00A0><U+0085>",1
"9","4horsemenapoca","We haven<U+0092>t figured out laws pertaining to Drones, yet we moved onto a Self-driving Uber car, that killed a pedestrian in Arizona? Who is held accountable? What type of insurance does one need for a self driving car? I<U+0092>d also like to see test data/safety. #ArtificialIntelligencepic.twitter.com/FlRpUb75TA",1
"10","A_Riley17","Self-driving cars reach their first major make-or-break point after a driverless vehicle from Uber hit and killed a woman in Tempe, Arizona. https://www.bloomberg.com/news/articles/2018-03-19/uber-is-pausing-autonomous-car-tests-in-all-cities-after-fatality<U+00A0><U+0085>",1
"11","AarianMarshall","Last night's fatal self-driving Uber crash raises a bunch of questions about how companies are testing their automated tech https://www.wired.com/story/uber-self-driving-car-crash-arizona-pedestrian<U+00A0><U+0085>",1
"12","aaronecarroll","How many might be saved by driverless cars? How many are killed by manned cars? Which are more dangerous? All of these are more important questions than who was the first person killed by a driverless car.",1
"13","ABC","Clarification: A self-driving Uber car hit and killed a woman walking her bike in Tempe, Arizona. [Earlier tweet called the victim a bicyclist.] http://abcn.ws/2FUX41A<U+00A0>",1
"14","ABC","NEW: A self-driving Uber car hit and killed a bicyclist in Tempe, Arizona. ""Uber is assisting and this is still an active investigation,"" police say. http://abcn.ws/2FUX41A<U+00A0>",1
